"group","type","sd"
"ml3","sdc",247
"ml3","sdc",277
"ml3","sdc",275
"ml3","sdc",76
"ml3","sdc",96
"ml3","sdc",73
"ml3","sdc",157
"ml3","sdc",175
"ml3","sdc",190
"ml3","sdc",171
"ml3","sdc",219
"ml3","sdc",346
"ml3","sdc",147
"ml3","sdc",97
"ml3","sdc",266
"ml3","sdc",118
"ml3","sdc",87
"ml3","sdc",340
"ml3","sdc",266
"ml3","sdc",91
"ml3","sdc",248
"ml3","sdc",151
"ml3","sdc",260
"ml3","sdc",279
"ml3","sdc",120
"ml3","sdc",163
"ml3","sdc",211
"ml3","sdc",152
"ml3","sdc",116
"ml3","sdc",98
"ml3","sdc",310
"ml3","sdc",89
"ml3","sdc",179
"ml3","sdc",62
"ml3","sdc",243
"ml3","sdc",270
"ml3","sdc",189
"ml3","sdc",91
"ml3","sdc",205
"ml3","sdc",306
"ml3","sdc",92
"ml3","sdc",147
"ml3","sdc",290
"ml3","sdc",90
"ml3","sdc",107
"ml3","sdc",70
"ml3","sdc",419
"ml3","sdc",192
"ml3","sdc",145
"ml3","sdc",73
"ml3","sdc",152
"ml3","sdc",300
"ml3","sdc",107
"ml3","sdc",436
"ml3","sdc",261
"ml3","sdc",270
"ml3","sdc",316
"ml3","sdc",157
"ml3","sdc",120
"ml3","sdc",195
"ml3","sdc",85
"ml3","sdc",102
"ml3","sdc",72
"ml3","sdc",347
"ml3","sdc",245
"ml3","sdc",163
"ml3","sdc",55
"ml3","sdc",127
"ml3","sdc",45
"ml3","sdc",154
"ml3","sdc",263
"ml3","sdc",256
"ml3","sdc",214
"ml3","sdc",120
"ml3","sdc",246
"ml3","sdc",229
"ml3","sdc",79
"ml3","sdc",144
"ml3","sdc",218
"ml3","sdc",161
"ml3","sdc",405
"ml3","sdc",45
"ml3","sdc",161
"ml3","sdc",281
"ml3","sdc",169
"ml3","sdc",396
"ml3","sdc",186
"ml3","sdc",189
"ml3","sdc",125
"ml3","sdc",284
"ml3","sdc",135
"ml3","sdc",83
"ml3","sdc",235
"ml3","sdc",328
"ml3","sdc",76
"ml3","sdc",207
"ml3","sdc",364
"ml3","sdc",190
"ml3","sdc",73
"ml3","sdc",187
"ml3","sdc",156
"ml3","sdc",129
"ml3","sdc",149
"ml3","sdc",200
"ml3","sdc",147
"ml3","sdc",166
"ml3","sdc",67
"ml3","sdc",154
"ml3","sdc",344
"ml3","sdc",69
"ml3","sdc",256
"ml3","sdc",258
"ml3","sdc",118
"ml3","sdc",271
"ml3","sdc",156
"ml3","sdc",72
"ml3","sdc",160
"ml3","sdc",157
"ml3","sdc",171
"ml3","sdc",83
"ml3","sdc",155
"ml3","sdc",192
"ml3","sdc",114
"ml3","sdc",290
"ml3","sdc",451
"ml3","sdc",193
"ml3","sdc",161
"ml3","sdc",89
"ml3","sdc",231
"ml3","sdc",88
"ml3","sdc",193
"ml3","sdc",571
"ml3","sdc",160
"ml3","sdc",368
"ml3","sdc",453
"ml3","sdc",142
"ml3","sdc",167
"ml3","sdc",167
"ml3","sdc",71
"ml3","sdc",168
"ml3","sdc",331
"ml3","sdc",133
"ml3","sdc",171
"ml3","sdc",77
"ml3","sdc",110
"ml3","sdc",101
"ml3","sdc",641
"ml3","sdc",708
"ml3","sdc",89
"ml3","sdc",293
"ml3","sdc",102
"ml3","sdc",264
"ml3","sdc",174
"ml3","sdc",76
"ml3","sdc",313
"ml3","sdc",102
"ml3","sdc",257
"ml3","sdc",264
"ml3","sdc",188
"ml3","sdc",409
"ml3","sdc",251
"ml3","sdc",479
"ml3","sdc",151
"ml3","sdc",194
"ml3","sdc",156
"ml3","sdc",228
"ml3","sdc",253
"ml3","sdc",154
"ml3","sdc",197
"ml3","sdc",158
"ml3","sdc",358
"ml3","sdc",130
"ml3","sdc",70
"ml3","sdc",295
"ml3","sdc",800
"ml3","sdc",402
"ml3","sdc",292
"ml3","sdc",167
"ml3","sdc",226
"ml3","sdc",140
"ml3","sdc",74
"ml3","sdc",62
"ml3","sdc",76
"ml3","sdc",357
"ml3","sdc",64
"ml3","sdc",376
"ml3","sdc",88
"ml3","sdc",100
"ml3","sdc",134
"ml3","sdc",111
"ml3","sdc",158
"ml3","sdc",642
"ml3","sdc",162
"ml3","sdc",234
"ml3","sdc",281
"ml3","sdc",213
"ml3","sdc",76
"ml3","sdc",803
"ml3","sdc",278
"ml3","sdc",126
"ml3","sdc",58
"ml3","sdc",228
"ml3","sdc",158
"ml3","sdc",330
"ml3","sdc",190
"ml3","sdc",246
"ml3","sdc",122
"ml3","sdc",604
"ml3","sdc",195
"ml3","sdc",455
"ml3","sdc",79
"ml3","sdc",88
"ml3","sdc",81
"ml3","sdc",99
"ml3","sdc",175
"ml3","sdc",117
"ml3","sdc",339
"ml3","sdc",104
"ml3","sdc",71
"ml3","sdc",257
"ml3","sdc",111
"ml3","sdc",261
"ml3","sdc",370
"ml3","sdc",174
"ml3","sdc",275
"ml3","sdc",453
"ml3","sdc",175
"ml3","sdc",137
"ml3","sdc",158
"ml3","sdc",116
"ml3","sdc",234
"ml3","sdc",230
"ml3","sdc",181
"ml3","sdc",270
"ml3","sdc",187
"ml3","sdc",325
"ml3","sdc",251
"ml3","sdc",152
"ml3","sdc",151
"ml3","sdc",218
"ml3","sdc",159
"ml3","sdc",261
"ml3","sdc",388
"ml3","sdc",90
"ml3","sdc",149
"ml3","sdc",302
"ml3","sdc",314
"ml3","sdc",210
"ml3","sdc",172
"ml3","sdc",98
"ml3","sdc",246
"ml3","sdc",67
"ml3","sdc",161
"ml3","sdc",147
"ml3","sdc",106
"ml3","sdc",367
"ml3","sdc",67
"ml3","sdc",316
"ml3","sdc",95
"ml3","sdc",520
"ml3","sdc",93
"ml3","sdc",391
"ml3","sdc",117
"ml3","sdc",102
"ml3","sdc",174
"ml3","sdc",275
"ml3","sdc",199
"ml3","sdc",149
"ml3","sdc",279
"ml3","sdc",190
"ml3","sdc",243
"ml3","sdc",137
"ml3","sdc",254
"ml3","sdc",248
"ml3","sdc",261
"ml3","sdc",129
"ml3","sdc",187
"ml3","sdc",95
"ml3","sdc",421
"ml3","sdc",128
"ml3","sdc",203
"ml3","sdc",219
"ml3","sdc",540
"ml3","sdc",255
"ml3","sdc",63
"ml3","sdc",107
"ml3","sdc",116
"ml3","sdc",199
"ml3","sdc",233
"ml3","sdc",194
"ml3","sdc",249
"ml3","sdc",160
"ml3","sdc",314
"ml3","sdc",190
"ml3","sdc",156
"ml3","sdc",184
"ml3","sdc",305
"ml3","sdc",220
"ml3","sdc",238
"ml3","sdc",422
"ml3","sdc",95
"ml3","sdc",84
"ml3","sdc",503
"ml3","sdc",395
"ml3","sdc",486
"ml3","sdc",151
"ml3","sdc",385
"ml3","sdc",240
"ml3","sdc",256
"ml3","sdc",166
"ml3","sdc",340
"ml3","sdc",279
"ml3","sdc",251
"ml3","sdc",259
"ml3","sdc",169
"ml3","sdc",168
"ml3","sdc",87
"ml3","sdc",586
"ml3","sdc",166
"ml3","sdc",132
"ml3","sdc",686
"ml3","sdc",276
"ml3","sdc",212
"ml3","sdc",91
"ml3","sdc",219
"ml3","sdc",405
"ml3","sdc",259
"ml3","sdc",142
"ml3","sdc",227
